client,facility,system,device,channo,channame,chanunits,description
BP,Atlantis,IMMS,Motion,1,PQ Wave Frequency Surge   ,ft      ,Surge motions over wave frequencies
BP,Atlantis,IMMS,Motion,2,PQ Wave Frequency Sway    ,ft      ,Sway motions over wave frequencies
BP,Atlantis,IMMS,Motion,3,PQ Wave Frequency Heave   ,ft      ,Heave motions over wave frequencies
BP,Atlantis,IMMS,Motion,4,Oil Ex SCR Porch Surge Vel,ft/s    ,Oil Ex SCR Porch Surge Vel
BP,Atlantis,IMMS,Motion,5,Oil Ex SCR Porch Sway Vel ,ft/s    ,Oil Ex SCR Porch Sway Vel 
BP,Atlantis,IMMS,Motion,6,Oil Ex SCR Porch Heave Vel,ft/s    ,Oil Ex SCR Porch Heave Vel
BP,Atlantis,IMMS,Octans,7,6 DOF Sensor Status1      ,none    ,6DoF sensor status 
BP,Atlantis,IMMS,Octans,8,6 DOF Sensor Status2      ,none    ,6DoF sensor status
BP,Atlantis,IMMS,Octans,9,PQ Roll                   ,deg     ,Real time measured Roll from Octans
BP,Atlantis,IMMS,Octans,10,PQ Pitch                  ,deg     ,Real time measured Pitch from Octans
BP,Atlantis,IMMS,Octans,11,PQ Heading                ,degT    ,Platform Heading
BP,Atlantis,IMMS,Octans,12,Sensor Surge Acc          ,ft/s^2  ,Measured surge acceleration at the sensor
BP,Atlantis,IMMS,Octans,13,Sensor Sway Acc           ,ft/s^2  ,Measured sway acceleration at the sensor
BP,Atlantis,IMMS,Octans,14,Sensor Heave Acc          ,ft/s^2  ,Measured heave acceleration at the sensor
BP,Atlantis,IMMS,Octans,15,PQ Roll Rate              ,deg/s   ,Real time measured roll rate from Octans
BP,Atlantis,IMMS,Octans,16,PQ Pitch Rate             ,deg/s   ,Real time measured pitch rate from Octans
BP,Atlantis,IMMS,Octans,17,PQ Yaw Rate               ,deg/s   ,Real time measured yaw rate from Octans
BP,Atlantis,IMMS,Octans,18,GPS Latitude DegMin       ,DegMin  ,GPS Latitude Degrees and Integer Minutes only (raw data – not for general use)
BP,Atlantis,IMMS,Octans,19,GPS Latitude DecMin       ,DecMin  ,GPS Latitude Decimal minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use))
BP,Atlantis,IMMS,Octans,20,GPS Longitude DegMin      ,DegMin  ,GPS Longitude Degrees and Integer Minutes only (raw data – not for general use)
BP,Atlantis,IMMS,Octans,21,GPS Longitude DecMin      ,DecMin  ,GPS Longitude Decimal Minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use))
BP,Atlantis,IMMS,Octans,22,GPS Quality               ,index   ,GPS Quality
BP,Atlantis,IMMS,Octans,23,GPS Number of Sats        ,#       ,GPS number of satellites being used to compute the position by the GPS receiver
BP,Atlantis,IMMS,Crane,24,Crane Rel Wind Direction  ,deg     ,Crane Wind Sensor Raw Direction
BP,Atlantis,IMMS,Crane,25,Crane Wind Speed          ,knots   ,Crane Wind Sensor Raw Speed
BP,Atlantis,IMMS,Crane,26,Crane Heading             ,deg     ,Crane Heading from Crane Rest
BP,Atlantis,IMMS,Deck,27,Deck Rel Wind Direction   ,deg     ,Deck Wind Sensor Raw Direction
BP,Atlantis,IMMS,Deck,28,Deck Wind Speed           ,knots   ,Deck Wind Sensor Raw Speed
BP,Atlantis,IMMS,Airgap,29,PQ North Airgap           ,ft      ,North Raw Air Gap; distance from sensor head to water surface
BP,Atlantis,IMMS,Airgap,30,PQ South Airgap           ,ft      ,South Raw Air Gap; distance from sensor head to water surface
BP,Atlantis,IMMS,Airgap,31,PQ East Airgap            ,ft      ,East Raw Air Gap; distance from sensor head to water surface
BP,Atlantis,IMMS,Airgap,32,PQ West Airgap            ,ft      ,West Raw Air Gap; distance from sensor head to water surface
BP,Atlantis,IMMS,ADCP,33,DD2 HADCP Max Cur Speed   ,knots   ,HADCP Maximum Current Speed in knots
BP,Atlantis,IMMS,ADCP,34,DD2 HADCP Max Cur Dir     ,degT    ,HADCP Maximum Current Direction in deg
BP,Atlantis,IMMS,ADCP,35,DD2 UADCP Max Cur Speed   ,knots   ,UADCP Maximum Current Speed in knots
BP,Atlantis,IMMS,ADCP,36,DD2 UADCP Max Cur Dir     ,degT    ,UADCP Maximum Current Direction in deg
BP,Atlantis,IMMS,ADCP,37,DD2 MADCP Max Cur Speed   ,knots   ,MADCP Maximum Current Speed in knots
BP,Atlantis,IMMS,ADCP,38,DD2 MADCP Max Cur Dir     ,degT    ,MADCP Maximum Current Direction in deg
BP,Atlantis,IMMS,ADCP,39,DD2 LADCP Max Cur Speed   ,knots   ,LADCP Maximum Current Speed in knots
BP,Atlantis,IMMS,ADCP,40,DD2 LADCP Max Cur Dir     ,degT    ,LADCP Maximum Current Direction in deg
BP,Atlantis,IMMS,Line,41,SW Col Mooring Lineout 1  ,links   ,SW Col Mooring Lineout 1  in ft
BP,Atlantis,IMMS,Tension,42,SW Col Mooring Tension 1  ,kips    ,SW Col Mooring Tension 1  in kips
BP,Atlantis,IMMS,Line,43,SW Col Mooring Lineout 2  ,links   ,SW Col Mooring Lineout 2  in ft
BP,Atlantis,IMMS,Tension,44,SW Col Mooring Tension 2  ,kips    ,SW Col Mooring Tension 2  in kips
BP,Atlantis,IMMS,Line,45,SW Col Mooring Lineout 3  ,links   ,SW Col Mooring Lineout 3  in ft
BP,Atlantis,IMMS,Tension,46,SW Col Mooring Tension 3  ,kips    ,SW Col Mooring Tension 3   in kips
BP,Atlantis,IMMS,Line,47,NW Col Mooring Lineout 4  ,links   ,NW Col Mooring Lineout 4  in ft
BP,Atlantis,IMMS,Tension,48,NW Col Mooring Tension 4  ,kips    ,NW Col Mooring Tension 4   in kips
BP,Atlantis,IMMS,Line,49,NW Col Mooring Lineout 5  ,links   ,NW Col Mooring Lineout 5  in ft
BP,Atlantis,IMMS,Tension,50,NW Col Mooring Tension 5  ,kips    ,NW Col Mooring Tension 5   in kips
BP,Atlantis,IMMS,Line,51,NW Col Mooring Lineout 6  ,links   ,NW Col Mooring Lineout 6  in ft
BP,Atlantis,IMMS,Tension,52,NW Col Mooring Tension 6  ,kips    ,NW Col Mooring Tension 6   in kips
BP,Atlantis,IMMS,Line,53,NE Col Mooring Lineout 7  ,links   ,NE Col Mooring Lineout 7  in ft
BP,Atlantis,IMMS,Tension,54,NE Col Mooring Tension 7  ,kips    ,NE Col Mooring Tension 7   in kips
BP,Atlantis,IMMS,Line,55,NE Col Mooring Lineout 8  ,links   ,NE Col Mooring Lineout 8  in ft
BP,Atlantis,IMMS,Tension,56,NE Col Mooring Tension 8  ,kips    ,NE Col Mooring Tension 8   in kips
BP,Atlantis,IMMS,Line,57,NE Col Mooring Lineout 9  ,links   ,NE Col Mooring Lineout 9  in ft
BP,Atlantis,IMMS,Tension,58,NE Col Mooring Tension 9  ,kips    ,NE Col Mooring Tension 9   in kips
BP,Atlantis,IMMS,Line,59,SE Col Mooring Lineout 10 ,links   ,SE Col Mooring Lineout 10 in ft
BP,Atlantis,IMMS,Tension,60,SE Col Mooring Tension 10 ,kips    ,SE Col Mooring Tension 10  in kips
BP,Atlantis,IMMS,Line,61,SE Col Mooring Lineout 11 ,links   ,SE Col Mooring Lineout 11 in ft
BP,Atlantis,IMMS,Tension,62,SE Col Mooring Tension 11 ,kips    ,SE Col Mooring Tension 11  in kips
BP,Atlantis,IMMS,Line,63,SE Col Mooring Lineout 12 ,links   ,SE Col Mooring Lineout 12 in ft
