client,facility,system,device,channo,channame,chanunits,description
Murphy,Delta House,EFMS,6 DOF,1,Roll Rate,deg/s,"Vessel roll rate, + STBD/PE down"
Murphy,Delta House,EFMS,6 DOF,2,Pitch Rate,deg/s,"Vessel pitch rate, + BOW/PN down"
Murphy,Delta House,EFMS,6 DOF,3,Yaw Rate,deg/s,"Vessel yaw rate, + Counterclockwise"
Murphy,Delta House,EFMS,6 DOF,4,Surge Accel,ft/s^2,"Vessel Surge Acceleration,  +X towards Platform N"
Murphy,Delta House,EFMS,6 DOF,5,Sway Accel,ft/s^2,"Vessel Sway Acceleration, +Y towards Platform W"
Murphy,Delta House,EFMS,6 DOF,6,Heave Accel,ft/s^2,"Vessel Heave Acceleration, +Z up"
Murphy,Delta House,EFMS,6 DOF,7,Surge Accel Temp,degF,Internal temperature of the Surge Accelerometer
Murphy,Delta House,EFMS,6 DOF,8,Sway Accel Temp,degF,Internal temperature of the Sway Accelerometer  
Murphy,Delta House,EFMS,6 DOF,9,Heave Accel Temp,degF,Internal temperature of the Heave Accelerometer  
Murphy,Delta House,EFMS,WC Wind,10,WC Raw Wind Dir,deg,West Crane Relative wind direction
Murphy,Delta House,EFMS,WC Wind,11,WC Raw Wind Spd,knots,West Crane raw wind speed at the sensor
Murphy,Delta House,EFMS,WC GPS,12,WC Latitude DegMin,DegMin,Latitude of the antenna; degrees and integer minutes only raw data – not for general use
Murphy,Delta House,EFMS,WC GPS,13,WC Latitude DecMin,DecMin,Latitude of the antenna; decimal minutes 1 to 4 decimal places raw data - not for general use
Murphy,Delta House,EFMS,WC GPS,14,WC Latitude DecMin2,DecMin2,Latitude of the antenna; decimal minutes 5 to 8 decimal places raw data - not for general use
Murphy,Delta House,EFMS,WC GPS,15,WC Longitude DegMin,DegMin,Longitude of the antenna; degrees and integer minutes only raw data - not for general use
Murphy,Delta House,EFMS,WC GPS,16,WC Longitude DecMin,DecMin,Longitude of the antenna; decimal minutes 1 to 4 decimal places raw data - not for general use
Murphy,Delta House,EFMS,WC GPS,17,WC Longitude DecMin2,DecMin2,Longitude of the antenna; decimal minutes 5 to 8 decimal places raw data - not for general use
Murphy,Delta House,EFMS,WC GPS,18,WC Altitude 1,m,West Crane Altitude meters
Murphy,Delta House,EFMS,WC GPS,19,WC Altitude 2,mm*10,West Crane Altitude centimeters
Murphy,Delta House,EFMS,WC GPS,20,WC GPS Quality,#,GPS Quality - 0 no fix ; 1 GPS only ; 2 Differential GPS
Murphy,Delta House,EFMS,WC GPS,21,WC Number of Satellites,#,Number of satellites being used to compute the position by the GPS receiver
