client,facility,system,device,channo,channame,chanunits,description
Murphy,Front Runner,EPMS,Misc,1,X Accel,ft/s^2,"Measured surge acceleration, +X towards Platform N"
Murphy,Front Runner,EPMS,Misc,2,Y Accel,ft/s^2,"Measured sway acceleration, +Y towards Platform W"
Murphy,Front Runner,EPMS,Misc,3,Z Accel,ft/s^2,"Measured heave acceleration, +Z up"
Murphy,Front Runner,EPMS,Misc,4,Air Temperature,deg F,Air Temperature Sensor
Murphy,Front Runner,EPMS,Misc,5,Barometric Pressure,in Hg,Barometric Pressure Sensor
Murphy,Front Runner,EPMS,Misc,6,Spare 1,ADACS,
Murphy,Front Runner,EPMS,Misc,7,Pitch Rate,deg/sec,"Measured pitch rate, + Pitch Bow Down"
Murphy,Front Runner,EPMS,Misc,8,Roll Rate,deg/sec,"Measured roll rate, + Roll Starboard Down"
Murphy,Front Runner,EPMS,Misc,9,Spare 2,ADACS,
Murphy,Front Runner,EPMS,Misc,10,Airgap SW,ft,Raw Air Gap - Measured distance from sensor head to water surface
Murphy,Front Runner,EPMS,Misc,11,Airgap NE,ft,Raw Air Gap - Measured distance from sensor head to water surface
Murphy,Front Runner,EPMS,Misc,12,X Accel Temp,deg F,"Measured internal surge acceleration temperature, used to correct temperature sensitive linear accelerometer using algorithm from manufacturer"
Murphy,Front Runner,EPMS,Misc,13,Y Accel Temp,deg F,"Measured internal sway acceleration temperature, used to correct temperature sensitive linear accelerometer using algorithm from manufacturer"
Murphy,Front Runner,EPMS,Misc,14,Z Accel Temp,deg F,"Measured internal  heave acceleration temperature, used to correct temperature sensitive linear accelerometer using algorithm from manufacturer"
Murphy,Front Runner,EPMS,Misc,15,Yaw Rate,deg/sec,"Measured yaw rate, + Yaw Platform South to Platform East"
Murphy,Front Runner,EPMS,Misc,16,Spare 3,ADACS,
Murphy,Front Runner,EPMS,Crane,17,Raw Wind Dir Crane-700,deg,Relative wind direction
Murphy,Front Runner,EPMS,Crane,18,Wind Spd Crane-700,mph,Raw wind speed at the sensor location
Murphy,Front Runner,EPMS,Crane,19,Crane-700 Heading,deg,
Murphy,Front Runner,EPMS,GPS,20,Latitude DegMin,none,Latitude of the antenna; degrees and integer minutes only raw data – not for general use
