client,facility,system,id,name,units,type,alias,description,Notes,device,category,source,target,function calls
Oxy,Constitution,EPRMS,M1,Roll Rate,deg/s,measured,,Measured Roll Rate using orthogonally mounted angular rate sensors; in platform coordinates  + Roll Platform South (Starboard) Down,,6DOF,Distance,M1,P3,
Oxy,Constitution,EPRMS,M2,Pitch Rate,deg/s,measured,,Measured Pitch Rate using orthogonally mounted angular rate sensors; in platform coordinates  + Pitch Platform East (Bow) Down,,6DOF,Distance,M2,P3,
Oxy,Constitution,EPRMS,M3,Yaw Rate,deg/s,measured,,Measured yaw rate using orthogonally mounted angular rate sensors; in platform coordinates + Yaw Bow to Port,,6DOF,Distance,M3,P3,
Oxy,Constitution,EPRMS,M4,Surge Accel,ft/s^2,measured,,Measured surge acceleration using biaxial accelerometers,,6DOF,Distance,M4,P3,
Oxy,Constitution,EPRMS,M5,Sway Accel,ft/s^2,measured,,Measured sway acceleration using biaxial accelerometers,,6DOF,Distance,M5,P3,
Oxy,Constitution,EPRMS,M6,Heave Accel,ft/s^2,measured,,Measured heave acceleration using vertical accelerometer,,6DOF,Distance,M6,P3,
Oxy,Constitution,EPRMS,M7,Surge Accel Temp,degF,measured,,Measured internal surge acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer,,6DOF,Distance,M7,P3,
Oxy,Constitution,EPRMS,M8,Sway Accel Temp,degF,measured,,Measured internal sway acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer,,6DOF,Distance,M8,P3,
Oxy,Constitution,EPRMS,M9,Heave Accel Temp,degF,measured,,Measured internal heave acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer,,6DOF,Distance,M9,P3,
Oxy,Constitution,EPRMS,M10,FB Wind Rel Dir,deg,measured,FB Raw Wind Dir,Flareboom Wind Sensor Raw Relative Direction,,FLAREBOOM,Direction,M10,P6,
Oxy,Constitution,EPRMS,M11,FB Wind Speed,knots,measured,FB Raw Wind Spd,Flareboom Wind Sensor Raw Speed,,FLAREBOOM,Distance,M11,P6,
Oxy,Constitution,EPRMS,M12,FB Latitude DegMin,none,measured,,Flareboom Latitude Degrees and Integer Minutes only (raw data – not for general use),,FLAREBOOM,Distance,M12,P4,
Oxy,Constitution,EPRMS,M13,FB Latitude DecMin,none,measured,,Flareboom Latitude Decimal minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use)),,FLAREBOOM,Distance,M13,P4,
Oxy,Constitution,EPRMS,M14,FB Latitude in DecMin2,DecMin2,measured,,Flareboom Latitude Decimal minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use)),,FLAREBOOM,Distance,M14,P4,
Oxy,Constitution,EPRMS,M15,FB Longitude DegMin,none,measured,,Flareboom Longitude Degrees and Integer Minutes only (raw data – not for general use),,FLAREBOOM,Distance,M15,P4,
Oxy,Constitution,EPRMS,M16,FB Longitude DecMin,none,measured,,Flareboom Longitude Decimal Minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use)),,FLAREBOOM,Distance,M16,P4,
Oxy,Constitution,EPRMS,M17,FB Longitude in DecMin2,DecMin2,measured,,Flareboom Longitude Decimal Minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use)),,FLAREBOOM,Distance,M17,P4,
Oxy,Constitution,EPRMS,M18,FB GPS Quality,none,measured,,Flareboom Crane GPS Quality,Remove 'Crane',FLAREBOOM,Distance,M18,P4,
Oxy,Constitution,EPRMS,M19,FB Number of Satellites,none,measured,,Flareboom number of satellites being used to compute the position by the GPS receiver,,FLAREBOOM,Distance,M19,P4,
Oxy,Constitution,EPRMS,M20,Crane Wind Rel Dir,deg,measured,Crane Raw Wind Dir,Crane Wind Sensor Raw Relative Direction,,Crane,Direction,M20,P7,
Oxy,Constitution,EPRMS,M21,Crane Wind Speed,knots,measured,Crane Raw Wind Spd,Crane Wind Sensor Raw Speed,,Crane,Distance,M21,P7,
Oxy,Constitution,EPRMS,M22,Crane Heading,deg,measured,Crane Heading,Crane Heading from Crane Rest,,Crane,Direction,M22,P7,
Oxy,Constitution,EPRMS,M23,Air Temperature,degF,measured,,Temperature measured at sensor,,Weather,Distance,M23,P11,
Oxy,Constitution,EPRMS,M24,Humidity,%,measured,,"Relative humidity, percent moisture",,Weather,Distance,M24,P11,
Oxy,Constitution,EPRMS,M25,Airgap NE,ft,measured,NE Raw Airgap,Raw Air Gap - distance from sensor head to water surface,,Airgap NE,Distance,M25,P9,
Oxy,Constitution,EPRMS,M26,Airgap SW,ft,measured,SW Raw Airgap,Raw Air Gap - distance from sensor head to water surface,,Airgap SW,Distance,M26,P9,
Oxy,Constitution,EPRMS,M27,VADCP Max Current Spd,knots,measured,VADCP Max Current Spd,Maximum speed of ocean currents measured by the VADCP,,ADCP DEEP,Distance,M27,P9,
Oxy,Constitution,EPRMS,M28,VADCP Max Current Dir,deg,measured,VADCP Max Current Dir,Maximum direction of ocean currents measured by the VADCP,,ADCP DEEP,Direction,M28,P9,
Oxy,Constitution,EPRMS,M29,Surface Curr Spd,knots,measured,Surface Current Spd,Speed of ocean surface currents,,ADCP Surface,Distance,M29,P9,
Oxy,Constitution,EPRMS,M30,Surface Curr Dir,deg,measured,Surface Current Dir,Direction of ocean surface currents,,ADCP Surface,Direction,M30,P9,
Oxy,Constitution,EPRMS,M31,Mooring Tension 1,kips,measured,,Mooring Tension in kips,,Mooring,Distance,M49,P12,
