client,facility,system,id,type,name,units,category,device,sensor,device type,device ID,alias,[config] description,,processor,inputs,constants,calculation,function calls
Oxy,HornMountain,EPRMS,M1,measured,LVDT BU1 SW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BU1 SW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M2,measured,LVDT BU2 NW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BU2 NW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M3,measured,LVDT BU3 SE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BU3 SE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M4,measured,LVDT BU4 NE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BU4 NE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M5,measured,LVDT BL1 SW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BL1 SW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M6,measured,LVDT BL2 NW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BL2 NW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M7,measured,LVDT BL3 SE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BL3 SE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M8,measured,LVDT BL4 NE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT BL4 NE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M9,measured,LVDT IU1 NW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IU1 NW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M10,measured,LVDT IU2 NE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IU2 NE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M11,measured,LVDT IU3 SW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IU3 SW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M12,measured,LVDT IU4 SE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IU4 SE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M13,measured,LVDT IL1 NW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IL1 NW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M14,measured,LVDT IL2 NE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IL2 NE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M15,measured,LVDT IL3 SW, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IL3 SW in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M16,measured,LVDT IL4 SE, in,LVDT,LVDT,,NIDAQ-MX,,,Measured LVDT IL4 SE in inches,,P29,,,,
Oxy,HornMountain,EPRMS,M17,measured,Roll Rate, deg/s,ADACS,6DOF,,NIDAQ-MX,,,Measured Roll Rate using orthogonally mounted angular rate sensors; in platform coordinates  + Roll Platform South (Starboard) Down,,P4,,,,
Oxy,HornMountain,EPRMS,M18,measured,Pitch Rate, deg/s,ADACS,6DOF,,NIDAQ-MX,,,Measured Pitch Rate using orthogonally mounted angular rate sensors; in platform coordinates  + Pitch Platform East (Bow) Down,,P4,,,,
Oxy,HornMountain,EPRMS,M19,measured,Yaw Rate, deg/s,ADACS,6DOF,,NIDAQ-MX,,,Measured yaw rate using orthogonally mounted angular rate sensors; in platform coordinates + Yaw Bow to Port,,,,,,
Oxy,HornMountain,EPRMS,M20,measured,6DOF Surge Acc, ft/s^2,ADACS,6DOF,,NIDAQ-MX,,,Measured surge acceleration using biaxial accelerometers,,P4,,,,
Oxy,HornMountain,EPRMS,M21,measured,6DOF Sway Acc, ft/s^2,ADACS,6DOF,,NIDAQ-MX,,,Measured sway acceleration using biaxial accelerometers,,P4,,,,
Oxy,HornMountain,EPRMS,M22,measured,6DOF Heave Acc, ft/s^2,ADACS,6DOF,,NIDAQ-MX,,,Measured heave acceleration using vertical accelerometer,,P4,,,,
Oxy,HornMountain,EPRMS,M23,measured,6DOF Surge Acc Temp, degF,ADACS,6DOF,,NIDAQ-MX,,,Measured internal surge acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer,,P1,,,,
Oxy,HornMountain,EPRMS,M24,measured,6DOF Sway Acc Temp, degF,ADACS,6DOF,,NIDAQ-MX,,,Measured internal sway acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer,,P2,,,,
Oxy,HornMountain,EPRMS,M25,measured,6DOF Heave Acc Temp, degF,ADACS,6DOF,,NIDAQ-MX,,,Measured internal heave acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer,,P3,,,,
Oxy,HornMountain,EPRMS,M26,measured,Air Temperature, deg F,Atmosphere,Weather,,NIDAQ-MX,,,Air Temperature in degF,,P6,,,,
Oxy,HornMountain,EPRMS,M27,measured,Barometric Pressure, mbars,Atmosphere,Weather,,NIDAQ-MX,,,Barometric Pressure in mbars,,P6,,,,
