client,facility,system,device,channo,channame,description
Oxy,Marlin,EPRMS,ADACS,1,Spare 1,ADACS Spare Channel 1
Oxy,Marlin,EPRMS,ADACS,2,Spare 2,ADACS Spare Channel 2
Oxy,Marlin,EPRMS,ADACS,3,Spare 3,ADACS Spare Channel 3
Oxy,Marlin,EPRMS,ADACS,4,Spare 4,ADACS Spare Channel 4
Oxy,Marlin,EPRMS,Atmospheric,5,Barometric Pressure,Barometric Pressure in mbars
Oxy,Marlin,EPRMS,Atmospheric,6,Air Temperature,Air Temperature in degF
Oxy,Marlin,EPRMS,Atmospheric,7,Humidity,Humidity in %
Oxy,Marlin,EPRMS,ADACS,8,Roll Rate,The measured roll rate using orthogonally mounted angular rate sensors; in platform coordinates + Roll Platform East (Starboard) Down
Oxy,Marlin,EPRMS,ADACS,9,Pitch Rate,The measured pitch rate using orthogonally mounted angular rate sensors; in platform coordinates + Pitch Platform North (Bow) Down
Oxy,Marlin,EPRMS,ADACS,10,Yaw Rate,The measured yaw rate using orthogonally mounted angular rate sensors; in platform coordinates + Yaw Bow to Port
Oxy,Marlin,EPRMS,ADACS,11,Surge Accel,Measured surge acceleration using biaxial accelerometers
Oxy,Marlin,EPRMS,ADACS,12,Sway Accel,Measured sway acceleration using biaxial accelerometers
Oxy,Marlin,EPRMS,ADACS,13,Heave Accel,Measured heave acceleration using vertical accelerometer
Oxy,Marlin,EPRMS,ADACS,14,Surge Accel Temp,Measured internal surge acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer
Oxy,Marlin,EPRMS,ADACS,15,Sway Accel Temp,Measured internal sway acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer
Oxy,Marlin,EPRMS,ADACS,16,Heave Accel Temp,Measured internal heave acceleration temperature used to correct temperature sensitive linear accelerometer using algorithm from manufacturer
Oxy,Marlin,EPRMS,GPS,17,EC Latitude DegMin,East Crane Latitude Degrees and Integer Minutes only (raw data – not for general use)
Oxy,Marlin,EPRMS,GPS,18,EC Latitude DecMin,East Crane Latitude Decimal Minutes only. 1 to 4 decimal places (0 - 0.XXXX minutes (raw data - not for general use))
