client,facility,system,device,channo,channame,chanunits,description
Shell,Appomattox,MIS,SW 6DoF,1,SW Roll,deg,Measured roll angle of rotation about the local body longitudinal (x) axis. +ve Roll is Starboard Down.
Shell,Appomattox,MIS,SW 6DoF,2,SW Pitch,deg,Measured pitch angle of rotation about the local body transverse (y) axis. +ve Pitch is Bow Down.
Shell,Appomattox,MIS,SW 6DoF,3,SW X Rate,deg/s,"Measured roll angular rate, +ve Roll is Starboard Down."
Shell,Appomattox,MIS,SW 6DoF,4,SW Y Rate,deg/s,"Measured pitch angular rate, +ve Pitch is Bow Down."
Shell,Appomattox,MIS,SW 6DoF,5,SW Z Rate,deg/s,"Measured yaw angular rate, +ve Yaw is Bow towards Port."
Shell,Appomattox,MIS,SW 6DoF,6,SW Accel X,ft/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Appomattox,MIS,SW 6DoF,7,SW Accel Y,ft/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Appomattox,MIS,SW 6DoF,8,SW Accel Z,ft/s^2,"Measured heave acceleration, +ve Heave is along vertical (z) axis."
Shell,Appomattox,MIS,SW 6DoF,9,SW Status,code,The status flag value of the Attitude and Heading Reference measurement device.
Shell,Appomattox,MIS,HELI 6DoF,10,HELI Roll,deg,Measured roll angle of rotation about the local body longitudinal (x) axis. +ve Roll is Starboard Down.
Shell,Appomattox,MIS,HELI 6DoF,11,HELI Pitch,deg,Measured pitch angle of rotation about the local body transverse (y) axis. +ve Pitch is Bow Down.
Shell,Appomattox,MIS,HELI 6DoF,12,HELI X Rate,deg/s,"Measured roll angular rate, +ve Roll is Starboard Down."
Shell,Appomattox,MIS,HELI 6DoF,13,HELI Y Rate,deg/s,"Measured pitch angular rate, +ve Pitch is Bow Down."
Shell,Appomattox,MIS,HELI 6DoF,14,HELI Z Rate,deg/s,"Measured yaw angular rate, +ve Yaw is Bow towards Port."
Shell,Appomattox,MIS,HELI 6DoF,15,HELI Accel X,ft/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Appomattox,MIS,HELI 6DoF,16,HELI Accel Y,ft/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Appomattox,MIS,HELI 6DoF,17,HELI Accel Z,ft/s^2,"Measured heave acceleration, +ve Heave is along vertical (z) axis."
Shell,Appomattox,MIS,HELI 6DoF,18,HELI DMS Status,code,The status flag value of the Attitude and Heading Reference measurement device.
Shell,Appomattox,MIS,Hem GPS,19,Hem Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Appomattox,MIS,Hem GPS,20,Hem Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Hem GPS,21,Hem Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Hem GPS,22,Hem Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Appomattox,MIS,Hem GPS,23,Hem Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Hem GPS,24,Hem Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Hem GPS,25,Hem Altitude 1,m,Altitude measurement at the antenna location in terms of integer meters
Shell,Appomattox,MIS,Hem GPS,26,Hem Altitude 2,mm*10,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Appomattox,MIS,Hem GPS,27,Hem GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Appomattox,MIS,Hem GPS,28,Hem Number of Sats,#,Number of Satellites available for position measurement.
Shell,Appomattox,MIS,Hem GPS,29,Hem HDOP,#,Horizontal dilution of precision
Shell,Appomattox,MIS,Hem GPS,30,Hem Age of Diff Corr,sec,Time lag of the correction signal in seconds.
Shell,Appomattox,MIS,Hem GPS,31,Platform Heading,degT,"Measured heading of the vessel, +ve heading is vessel Bow (x-axis) clockwise of True North."
Shell,Appomattox,MIS,Fugro GPS,32,Fugro Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Appomattox,MIS,Fugro GPS,33,Fugro Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Fugro GPS,34,Fugro Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Fugro GPS,35,Fugro Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Appomattox,MIS,Fugro GPS,36,Fugro Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Fugro GPS,37,Fugro Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Appomattox,MIS,Fugro GPS,38,Fugro Altitude 1,m,Altitude measurement at the antenna location in terms of integer meters
Shell,Appomattox,MIS,Fugro GPS,39,Fugro Altitude 2,mm*10,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Appomattox,MIS,Fugro GPS,40,Fugro GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Appomattox,MIS,Fugro GPS,41,Fugro Number of Sats,#,Number of Satellites available for position measurement.
Shell,Appomattox,MIS,Fugro GPS,42,Fugro HDOP,#,Horizontal dilution of precision
