client,facility,system,device,channo,channame,chanunits,description
Shell,Auger,MIS,GPS,1,Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Auger,MIS,GPS,2,Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Auger,MIS,GPS,3,Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Auger,MIS,GPS,4,Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Auger,MIS,GPS,5,Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Auger,MIS,GPS,6,Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Auger,MIS,GPS,7,Altitude 1,m,Altitude measurement at the antenna location in terms of integer meters
Shell,Auger,MIS,GPS,8,Altitude 2,mm*10,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Auger,MIS,GPS,9,GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Auger,MIS,GPS,10,Number of Satellites,#,Number of Satellites available for position measurement.
Shell,Auger,MIS,GPS,11,HDOP,#,Horizontal dilution of precision
Shell,Auger,MIS,GPS,12,Age of Diff Corr,sec,Time lag of the correction signal in seconds.
Shell,Auger,MIS,TIS,13,E1 Tendon 1 Bending,kips-ft,Output E1 Tendon 1 Bending from TIS.
Shell,Auger,MIS,TIS,14,E1 Tendon 1 Tension,kips,Output E1 Tendon 1 Tension from TIS.
Shell,Auger,MIS,TIS,15,E1 Tendon 1 Angle,deg,Output E1 Tendon 1 Angle from TIS.
Shell,Auger,MIS,TIS,16,E1 Tendon 1 Status,bits,Output E1 Tendon 1 Status from TIS.
Shell,Auger,MIS,TIS,17,E1 Tendon 2 Bending,kips-ft,Output E1 Tendon 2 Bending from TIS.
Shell,Auger,MIS,TIS,18,E1 Tendon 2 Tension,kips,Output E1 Tendon 2 Tension from TIS.
Shell,Auger,MIS,TIS,19,E1 Tendon 2 Angle,deg,Output E1 Tendon 2 Angle from TIS.
Shell,Auger,MIS,TIS,20,E1 Tendon 2 Status,bits,Output E1 Tendon 2 Status from TIS.
Shell,Auger,MIS,TIS,21,E1 Tendon 3 Bending,kips-ft,Output E1 Tendon 3 Bending from TIS.
Shell,Auger,MIS,TIS,22,E1 Tendon 3 Tension,kips,Output E1 Tendon 3 Tension from TIS.
Shell,Auger,MIS,TIS,23,E1 Tendon 3 Angle,deg,Output E1 Tendon 3 Angle from TIS.
Shell,Auger,MIS,TIS,24,E1 Tendon 3 Status,bits,Output E1 Tendon 3 Status from TIS.
Shell,Auger,MIS,TIS,25,A1 Tendon 4 Bending,kips-ft,Output A1 Tendon 4 Bending from TIS.
Shell,Auger,MIS,TIS,26,A1 Tendon 4 Tension,kips,Output A1 Tendon 4 Tension from TIS.
Shell,Auger,MIS,TIS,27,A1 Tendon 4 Angle,deg,Output A1 Tendon 4 Angle from TIS.
Shell,Auger,MIS,TIS,28,A1 Tendon 4 Status,bits,Output A1 Tendon 4 Status from TIS.
Shell,Auger,MIS,TIS,29,A1 Tendon 5 Bending,kips-ft,Output A1 Tendon 5 Bending from TIS.
Shell,Auger,MIS,TIS,30,A1 Tendon 5 Tension,kips,Output A1 Tendon 5 Tension from TIS.
Shell,Auger,MIS,TIS,31,A1 Tendon 5 Angle,deg,Output A1 Tendon 5 Angle from TIS.
Shell,Auger,MIS,TIS,32,A1 Tendon 5 Status,bits,Output A1 Tendon 5 Status from TIS.
Shell,Auger,MIS,TIS,33,A1 Tendon 6 Bending,kips-ft,Output A1 Tendon 6 Bending from TIS.
Shell,Auger,MIS,TIS,34,A1 Tendon 6 Tension,kips,Output A1 Tendon 6 Tension from TIS.
