client,facility,system,device,channo,channame,chanunits,description
Shell,Olympus,MIS,6DOF,1,PQ Roll,deg,Calculated inside 6DoF of roll angle of rotation about the local body longitudinal (x) axis. +ve Roll is Starboard Down.
Shell,Olympus,MIS,6DOF,2,PQ Pitch,deg,Calculated inside 6DoF of pitch angle of rotation about the local body transverse (y) axis. +ve Pitch is Bow Down.
Shell,Olympus,MIS,6DOF,3,PQ Heave,deg,"Calculated inside 6DoF of vertical offset at the device location, along the local body vertical (z) axis. +ve Heave is upwards."
Shell,Olympus,MIS,6DOF,4,PQ Roll Rate,deg/s,"Measured roll angular rate, +ve Roll is Starboard Down."
Shell,Olympus,MIS,6DOF,5,PQ Pitch Rate,deg/s,"Measured pitch angular rate, +ve Pitch is Bow Down."
Shell,Olympus,MIS,6DOF,6,PQ Heading Rate,deg/s,"Measured yaw angular rate, +ve Yaw is Bow towards Port."
Shell,Olympus,MIS,6DOF,7,PQ Surge Acc,ft/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Olympus,MIS,6DOF,8,PQ Sway Acc,ft/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Olympus,MIS,6DOF,9,PQ Heave Acc,ft/s^2,"Measured heave acceleration, +ve Heave is along vertical (z) axis."
Shell,Olympus,MIS,6DOF,10,PQ Heading,deg,"Calculated inside 6DoF of heading of the vessel, +ve heading is vessel Bow (x-axis) clockwise of True North."
Shell,Olympus,MIS,6DOF,11,6DOF Sensor Status,code,The status flag value of the Attitude and Heading Reference measurement device.
Shell,Olympus,MIS,2DOF,12,2DOF Surge Accel,ft/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Olympus,MIS,2DOF,13,2DOF Sway Accel,ft/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Olympus,MIS,2DOF,14,Not Used,none,
Shell,Olympus,MIS,2DOF,15,2DOF Surge Accel Temp,degF,Measured surge acceleration temperature.
Shell,Olympus,MIS,2DOF,16,2DOF Sway Accel Temp,degF,Measured sway acceleration temperature.
Shell,Olympus,MIS,6DOF GPS,17,Orion Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Olympus,MIS,6DOF GPS,18,Orion Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,6DOF GPS,19,Orion Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,6DOF GPS,20,Orion Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Olympus,MIS,6DOF GPS,21,Orion Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,6DOF GPS,22,Orion Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,6DOF GPS,23,Orion Altitude 1,ft,Altitude measurement at the antenna location in terms of integer meters
Shell,Olympus,MIS,6DOF GPS,24,Orion Altitude 2,ft*10000,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Olympus,MIS,6DOF GPS,25,Orion GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Olympus,MIS,6DOF GPS,26,Orion Number of Satellites,#,Number of Satellites available for position measurement.
Shell,Olympus,MIS,GPS,27,Fugro Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Olympus,MIS,GPS,28,Fugro Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,GPS,29,Fugro Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,GPS,30,Fugro Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Olympus,MIS,GPS,31,Fugro Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,GPS,32,Fugro Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Olympus,MIS,GPS,33,Fugro Altitude 1,ft,Altitude measurement at the antenna location in terms of integer meters
Shell,Olympus,MIS,GPS,34,Fugro Altitude 2,ft*10000,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Olympus,MIS,GPS,35,Fugro GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Olympus,MIS,GPS,36,Fugro Number of Satellites,#,Number of Satellites available for position measurement.
Shell,Olympus,MIS,Airgap PN,37,North Raw Airgap,ft,Measured distance from North Airgap sensor head to water surface..
Shell,Olympus,MIS,Airgap PE,38,East Raw Airgap,ft,Measured distance from East Airgap sensor head to water surface.
Shell,Olympus,MIS,Airgap PS,39,South Raw Airgap,ft,Measured distance from South Airgap sensor head to water surface.
Shell,Olympus,MIS,Airgap PW,40,West Raw Airgap,ft,Measured distance from West Airgap sensor head to water surface.
Shell,Olympus,MIS,MIROS,41,Sig Wave Height,ft,Measured significant wave height.
Shell,Olympus,MIS,MIROS,42,Max Wave Height,ft,Measured maximum wave height.
Shell,Olympus,MIS,MIROS,43,Pri Wave Peak Period,sec,Measured primary wave peak period Tp1.
Shell,Olympus,MIS,MIROS,44,Pri Wave Peak Dir,deg,"Measured wave direction from, true."
Shell,Olympus,MIS,MIROS,45,Pri Wave Dir Spread,deg,Direction spreading of the wave spectrum's primary peak energy.
Shell,Olympus,MIS,MIROS,46,Wave Steepness,none,Measured wave steepness.
