client,facility,system,device,channo,channame,chanunits,description
Shell,Perdido,MIS,6DOF,1,PQ Roll,deg,Calculated inside 6DoF of roll angle of rotation about the local body longitudinal (x) axis. +ve Roll is Starboard Down.
Shell,Perdido,MIS,6DOF,2,PQ Pitch,deg,Calculated inside 6DoF of pitch angle of rotation about the local body transverse (y) axis. +ve Pitch is Bow Down.
Shell,Perdido,MIS,6DOF,3,PQ Heave,ft,"Calculated inside 6DoF of vertical offset at the device location, along the local body vertical (z) axis. +ve Heave is upwards."
Shell,Perdido,MIS,6DOF,4,PQ Roll Rate,deg/s,"Measured roll angular rate, +ve Roll is Starboard Down."
Shell,Perdido,MIS,6DOF,5,PQ Pitch Rate,deg/s,"Measured pitch angular rate, +ve Pitch is Bow Down."
Shell,Perdido,MIS,6DOF,6,PQ Heading Rate,deg/s,"Measured yaw angular rate, +ve Yaw is Bow towards Port."
Shell,Perdido,MIS,6DOF,7,PQ Surge Acc,ft/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Perdido,MIS,6DOF,8,PQ Sway Acc,ft/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Perdido,MIS,6DOF,9,PQ Heave Acc,ft/s^2,"Measured heave acceleration, +ve Heave is along vertical (z) axis."
Shell,Perdido,MIS,6DOF,10,PQ Heading,deg,"Calculated inside 6DoF of heading of the vessel, +ve heading is vessel Bow (x-axis) clockwise of True North."
Shell,Perdido,MIS,6DOF,11,6DOF Sensor Status,code,The status flag value of the Attitude and Heading Reference measurement device.
Shell,Perdido,MIS,GPS,12,Fugro Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Perdido,MIS,GPS,13,Fugro Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,GPS,14,Fugro Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,GPS,15,Fugro Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Perdido,MIS,GPS,16,Fugro Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,GPS,17,Fugro Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,GPS,18,Fugro Altitude 1,ft,Altitude measurement at the antenna location in terms of integer meters
Shell,Perdido,MIS,GPS,19,Fugro Altitude 2,ft*10000,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Perdido,MIS,GPS,20,Fugro GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Perdido,MIS,GPS,21,Fugro No of Satellites,#,Number of Satellites available for position measurement.
Shell,Perdido,MIS,6DOF GPS,22,Orion Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Perdido,MIS,6DOF GPS,23,Orion Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,6DOF GPS,24,Orion Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,6DOF GPS,25,Orion Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Perdido,MIS,6DOF GPS,26,Orion Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,6DOF GPS,27,Orion Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Perdido,MIS,6DOF GPS,28,Orion Altitude 1,ft,Altitude measurement at the antenna location in terms of integer meters
Shell,Perdido,MIS,6DOF GPS,29,Orion Altitude 2,ft*10000,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Perdido,MIS,6DOF GPS,30,Orion GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Perdido,MIS,6DOF GPS,31,Orion No of Satellites,#,Number of Satellites available for position measurement.
Shell,Perdido,MIS,Riser S-A,32,Low Riser S-A PT1,psi,Measured from Pressure Transducer on Riser A cylinder 1 lower part.
