client,facility,system,device,channo,channame,chanunits,description
Shell,Stones,IMMS,HELI 6DOF,1,HELI Roll Rate,deg/s,"Measured roll angular rate, +ve Roll is Starboard Down."
Shell,Stones,IMMS,HELI 6DOF,2,HELI Pitch Rate,deg/s,"Measured pitch angular rate, +ve Pitch is Bow Down."
Shell,Stones,IMMS,HELI 6DOF,3,HELI Yaw Rate,deg/s,"Measured yaw angular rate, +ve Yaw is Bow towards Port."
Shell,Stones,IMMS,HELI 6DOF,4,HELI Surge Accel,m/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Stones,IMMS,HELI 6DOF,5,HELI Sway Accel,m/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Stones,IMMS,HELI 6DOF,6,HELI Heave Accel,m/s^2,"Measured heave acceleration, +ve Heave is along vertical (z) axis."
Shell,Stones,IMMS,HELI 6DOF,7,HELI Surge Accel Temp,degC,Measured surge acceleration temperature.
Shell,Stones,IMMS,HELI 6DOF,8,HELI Sway Accel Temp,degC,Measured sway acceleration temperature.
Shell,Stones,IMMS,HELI 6DOF,9,HELI Heave Accel Temp,degC,Measured heave acceleration temperature.
Shell,Stones,IMMS,Turret 6DOF,10,Turret Roll,deg,Calculated inside 6DoF of roll angle of rotation about the local body longitudinal (x) axis. +ve Roll is Starboard Down.
Shell,Stones,IMMS,Turret 6DOF,11,Turret Pitch,deg,Calculated inside 6DoF of pitch angle of rotation about the local body transverse (y) axis. +ve Pitch is Bow Down.
Shell,Stones,IMMS,Turret 6DOF,12,Turret Heave,m,"Calculated inside 6DoF of vertical offset at the device location, along the local body vertical (z) axis. +ve Heave is upwards."
Shell,Stones,IMMS,Turret 6DOF,13,Turret Roll Rate,deg/s,"Measured roll angular rate, +ve Roll is Starboard Down."
Shell,Stones,IMMS,Turret 6DOF,14,Turret Pitch Rate,deg/s,"Measured pitch angular rate, +ve Pitch is Bow Down."
Shell,Stones,IMMS,Turret 6DOF,15,Turret Yaw Rate,deg/s,"Measured yaw angular rate, +ve Yaw is Bow towards Port."
Shell,Stones,IMMS,Turret 6DOF,16,Turret Surge Acc,m/s^2,"Measured surge acceleration, +ve Surge is along longitudinal (x) axis."
Shell,Stones,IMMS,Turret 6DOF,17,Turret Sway Acc,m/s^2,"Measured sway acceleration, +ve Sway is along transverse (y) axis."
Shell,Stones,IMMS,Turret 6DOF,18,Turret Heave Acc,m/s^2,"Measured heave acceleration, +ve Heave is along vertical (z) axis."
Shell,Stones,IMMS,Turret 6DOF,19,Turret AHRS Status,code,The status flag value of the Attitude and Heading Reference measurement device.
Shell,Stones,IMMS,Turret 6DOF,20,Turret Heading,degT,"Calculated inside 6DoF of heading of the vessel, +ve heading is vessel Bow (x-axis) clockwise of True North."
Shell,Stones,IMMS,Wind,21,Turret Raw Wind Dir,deg,"Measured turret raw wind direction from, relative."
Shell,Stones,IMMS,Wind,22,Turret Raw Wind Spd,knots,Measured turret raw wind speed.
Shell,Stones,IMMS,Wind,23,PORT Raw Wind Dir,deg,"Measured port raw wind direction from, relative."
Shell,Stones,IMMS,Wind,24,PORT Raw Wind Spd,knots,Measured port raw wind speed.
Shell,Stones,IMMS,AWOS,25,AWOS Cloud Coverage,none,"Measured types of cloud cover conditions include SKC (sky clear), FEW (trace), SCT (scattered), BKN (broken) and OVC (overcast). Cloud cover is reported in terms of 1/8th of sky cover with 1-2/8th being FEW, 3-4/8th being SCT, 5-7/8th being BKN and 8/8 denoted at OVC."
Shell,Stones,IMMS,AWOS,26,AWOS Cloud Height,m,Measured cloud height on the 1st cloud layer.
Shell,Stones,IMMS,AWOS,27,AWOS Visibility,mile,Measured visibility.
Shell,Stones,IMMS,AWOS,28,AWOS Rain Accumulation,mm/hr,"Measured the amount of precipitation measured during the past hour, counting from the beginning of the hour."
Shell,Stones,IMMS,AWOS,29,AWOS Present Weather1,none,"Derived from data for several parameters, including air temperature, dew point, temperature, visibility, lightning (when available), and precipitation type and rate data from the present weather sensor, the result is in code including 3 parts: intensity, descriptor, phenomena."
Shell,Stones,IMMS,AWOS,30,AWOS Present Weather2,none,"Derived from data for several parameters, including air temperature, dew point, temperature, visibility, lightning (when available), and precipitation type and rate data from the present weather sensor, the result is in code including 3 parts: intensity, descriptor, phenomena."
Shell,Stones,IMMS,AWOS,31,AWOS Air Temperature,degF,Measured air temperature at sensor location.
Shell,Stones,IMMS,AWOS,32,AWOS Dew Point,degF,Measured dew point at sensor location.
Shell,Stones,IMMS,AWOS,33,AWOS Raw Wind Dir,deg,"Measured relative wind direction from, at sensor location."
Shell,Stones,IMMS,AWOS,34,AWOS Raw Wind Spd,knot,Measured wind speed at the sensor location.
Shell,Stones,IMMS,AWOS,35,AWOS Raw Wind Spd Avg,knot,Measured 2-minute average wind speed at the sensor location.
Shell,Stones,IMMS,AWOS,36,AWOS Baro Pressure,mbar,Measured barometric pressure.
Shell,Stones,IMMS,AWOS,37,AWOS Sensor Status,none,
Shell,Stones,IMMS,AWOS,38,AWOS Sea Level Pressure,mbar,Not used.
Shell,Stones,IMMS,Console,39,Console Pressure,mbar,Measured barometric pressure.
Shell,Stones,IMMS,AFT Airgap,40,AFT Raw Airgap,m,Measured distance from AFT Airgap sensor head to water surface..
Shell,Stones,IMMS,GP150,41,GP150 Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Stones,IMMS,GP150,42,GP150 Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Stones,IMMS,GP150,43,GP150 Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Stones,IMMS,GP150,44,GP150 Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Stones,IMMS,GP150,45,GP150 Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Stones,IMMS,GP150,46,GP150 Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Stones,IMMS,GP150,47,GP150 Altitude 1,m,Altitude measurement at the antenna location in terms of integer meters.
Shell,Stones,IMMS,GP150,48,GP150 Altitude 2,mm*10,Altitude measurement at the antenna location in terms of integer centimeters.
Shell,Stones,IMMS,GP150,49,GP150 GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS.
Shell,Stones,IMMS,GP150,50,GP150 Number of Sats,#,Number of Satellites available for position measurement.
Shell,Stones,IMMS,GP150,51,GP150 HDOP,#,Horizontal dilution of precision.
Shell,Stones,IMMS,GP150,52,GP150 Age of Diff Corr,sec,Time lag of the correction signal in seconds.
Shell,Stones,IMMS,GYRO,53,GYRO Heading,deg,"Measured heading of the vessel, +ve heading is vessel Bow (x-axis) clockwise of True North."
Shell,Stones,IMMS,Turret Moonpool,54,Turret Moonpool PX1,psia,Measured turret water pressure.
Shell,Stones,IMMS,Turret Moonpool,55,Turret Moonpool PX2,psia,Measured turret water pressure.
Shell,Stones,IMMS,Turret Moonpool,56,Turret Moonpool PX3,psia,Measured turret water pressure.
Shell,Stones,IMMS,Turret Moonpool,57,Turret Moonpool PX4,psia,Measured turret water pressure.
Shell,Stones,IMMS,SeaWater,58,SeaWater Temp Removed,degF,"Measured sea water temperature, input from ICSS server."
Shell,Stones,IMMS,SeaWater,59,SeaWater to coolers Temp,degF,"Measured sea water temperature, input from ICSS server."
Shell,Stones,IMMS,FPSO DRAFT,60,FPSO DRAFT (AFT),m,"Measured draft at aft of ship, input from ICSS server."
Shell,Stones,IMMS,FPSO DRAFT,61,FPSO DRAFT (FWD),m,"Measured draft at forward of ship, input from ICSS server."
Shell,Stones,IMMS,FPSO DRAFT,62,FPSO DRAFT (MID-PS),m,"Measured draft at mid-port side of ship, input from ICSS server."
Shell,Stones,IMMS,FPSO DRAFT,63,FPSO DRAFT (MID-SB),m,"Measured draft at mid-starboard side of ship, input from ICSS server."
Shell,Stones,IMMS,MET Bouy,64,MET Buoy wdir 1,degT,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,65,MET Buoy wdir 2,degT,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,66,MET Buoy wspd 1,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,67,MET Buoy wspd 2,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,68,MET Buoy gust 1,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,69,MET Buoy gust 2,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,70,MET Buoy baro 1,mbar,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,71,MET Buoy atmp 1,degF,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,72,MET Buoy wtmp 1,degF,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,73,MET Buoy wvhgt,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,74,MET Buoy dompd,sec,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,75,MET Buoy dv001,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,76,MET Buoy uv001,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,77,MET Buoy vv001,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,78,MET Buoy dv002,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,79,MET Buoy uv002,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,80,MET Buoy vv002,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,81,MET Buoy dv003,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,82,MET Buoy uv003,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,83,MET Buoy vv003,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,84,MET Buoy dv004,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,85,MET Buoy uv004,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,86,MET Buoy vv004,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,87,MET Buoy dv005,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,88,MET Buoy uv005,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,89,MET Buoy vv005,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,90,MET Buoy dv006,ft,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,91,MET Buoy uv006,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,92,MET Buoy vv006,knots,"Measured bouy data, via ethernet satellite link."
Shell,Stones,IMMS,MET Bouy,93,MET Buoy dv007,ft,"Measured bouy data, via ethernet satellite link."
