client,facility,system,device,channo,channame,chanunits,description
Shell,Ursa,MIS,GPS,1,Latitude DegMin,DegMin,Latitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Ursa,MIS,GPS,2,Latitude DecMin,DecMin,"Latitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Ursa,MIS,GPS,3,Latitude DecMin2,DecMin2,"Latitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Ursa,MIS,GPS,4,Longitude DegMin,DegMin,Longitude of the antenna in terms of degrees and integer minutes (raw data - not for general use).
Shell,Ursa,MIS,GPS,5,Longitude DecMin,DecMin,"Longitude of the antenna in terms of decimal minutes (decimal places 1 to 4, 0 - 0.XXXX minutes (raw data - not for general use))."
Shell,Ursa,MIS,GPS,6,Longitude DecMin2,DecMin2,"Longiitude of the antenna in terms of decimal minutes (decimal places 5 to 8, 0 - 0.0000XXXX minutes (raw data - not for general use))."
Shell,Ursa,MIS,GPS,7,Altitude 1,m,Altitude measurement at the antenna location in terms of integer meters
Shell,Ursa,MIS,GPS,8,Altitude 2,mm*10,Altitude measurement at the antenna location in terms of integer centimeters
Shell,Ursa,MIS,GPS,9,GPS Quality,#,Quality of the GPS data - 0 no fix ; 1 GPS only ; 2 Differential GPS
Shell,Ursa,MIS,GPS,10,Number of Satellites,#,Number of Satellites available for position measurement.
Shell,Ursa,MIS,GPS,11,HDOP,#,Horizontal dilution of precision
Shell,Ursa,MIS,GPS,12,Age of Diff Corr,sec,Time lag of the correction signal in seconds.
Shell,Ursa,MIS,TIS,13,NE Tendon 2 Bending,kips-ft,Output NE Tendon 2 Bending from TIS.
Shell,Ursa,MIS,TIS,14,NE Tendon 2 Tension,kips,Output NE Tendon 2 Tension from TIS.
Shell,Ursa,MIS,TIS,15,NE Tendon 2 Angle,deg,Output NE Tendon 2 Angle from TIS.
Shell,Ursa,MIS,TIS,16,NE Tendon 2 Status,bits,Output NE Tendon 2 Status from TIS.
Shell,Ursa,MIS,TIS,17,SE Tendon 7 Bending,kips-ft,Output SE Tendon 7 Bending from TIS.
Shell,Ursa,MIS,TIS,18,SE Tendon 7 Tension,kips,Output SE Tendon 7 Tension from TIS.
Shell,Ursa,MIS,TIS,19,SE Tendon 7 Angle,deg,Output SE Tendon 7 Angle from TIS.
Shell,Ursa,MIS,TIS,20,SE Tendon 7 Status,bits,Output SE Tendon 7 Status from TIS.
Shell,Ursa,MIS,TIS,21,SW Tendon 10 Bending,kips-ft,Output SW Tendon 10 Bending from TIS.
Shell,Ursa,MIS,TIS,22,SW Tendon 10 Tension,kips,Output SW Tendon 10 Tension from TIS.
Shell,Ursa,MIS,TIS,23,SW Tendon 10 Angle,deg,Output SW Tendon 10 Angle from TIS.
Shell,Ursa,MIS,TIS,24,SW Tendon 10 Status,bits,Output SW Tendon 10 Status from TIS.
Shell,Ursa,MIS,TIS,25,NW Tendon 15 Bending,kips-ft,Output NW Tendon 15 Bending from TIS.
Shell,Ursa,MIS,TIS,26,NW Tendon 15 Tension,kips,Output NW Tendon 15 Tension from TIS.
Shell,Ursa,MIS,TIS,27,NW Tendon 15 Angle,deg,Output NW Tendon 15 Angle from TIS.
Shell,Ursa,MIS,TIS,28,NW Tendon 15 Status,bits,Output NW Tendon 15 Status from TIS.
Shell,Ursa,MIS,TIS,29,TIS Status,bits,Output TIS Status from TIS.
Shell,Ursa,MIS,AWOS,30,AWOS Cloud Coverage,none,"Measured types of cloud cover conditions include SKC (sky clear), FEW (trace), SCT (scattered), BKN (broken) and OVC (overcast). Cloud cover is reported in terms of 1/8th of sky cover with 1-2/8th being FEW, 3-4/8th being SCT, 5-7/8th being BKN and 8/8 denoted at OVC."
Shell,Ursa,MIS,AWOS,31,AWOS Cloud Height,ft,Measured cloud height on the 1st cloud layer.
