client,facility,system,device,channo,channame,chanunits,description
Woodside,Scarborough,IMMS,,1,Topside Roll,deg,"Roll angle of rotation about the local body longitudinal (x) axis, measured at Topside. +ve Roll is Platform South Down."
Woodside,Scarborough,IMMS,,2,Topside Pitch,deg,"Pitch angle of rotation about the local body transverse (y) axis, measured at Topside. +ve Pitch is Platform East Down."
Woodside,Scarborough,IMMS,,3,Topside Yaw,deg,"Yaw angle of rotation about the local body vertical (z) axis, measured at Topside. +ve Yaw is Platform East towards Platform North."
Woodside,Scarborough,IMMS,,4,Topside Roll Vel,deg/s,"Roll angular rate, measured at Topside. +ve Roll is Platform South Down."
Woodside,Scarborough,IMMS,,5,Topside Pitch Vel,deg/s,"Pitch angular rate, measured at Topside. +ve Pitch is Platform East Down."
Woodside,Scarborough,IMMS,,6,Topside Yaw Vel,deg/s,"Yaw angular rate, measured at Topside. +ve Yaw is Platform East towards Platform North."
Woodside,Scarborough,IMMS,,7,Topside Roll Accel,deg/s^2,"Roll angular acceleration, measured at Topside. +ve Roll is Platform South Down."
Woodside,Scarborough,IMMS,,8,Topside Pitch Accel,deg/s^2,"Pitch angular acceleration, measured at Topside. +ve Pitch is Platform East Down."
Woodside,Scarborough,IMMS,,9,Topside Yaw Accel,deg/s^2,"Yaw angular acceleration, measured at Topside. +ve Yaw is Platform East towards Platform North."
Woodside,Scarborough,IMMS,,10,Topside Surge,m,"Linear motion along the local body longitudinal (x) axis, measured at Topside. +ve Surge is towards Platform East."
Woodside,Scarborough,IMMS,,11,Topside Sway,m,"Linear motion along the local body transverse (y) axis, measured at Topside. +ve Sway is towards Platform North."
Woodside,Scarborough,IMMS,,12,Topside Heave,m,"Linear motion along the local body vertical (z) axis, measured at Topside. +ve Heave is directed vertically upwards."
Woodside,Scarborough,IMMS,,13,Topside Surge Vel,m/s,Surge velocity measured at Topside. +ve Surge is towards Platform East.
Woodside,Scarborough,IMMS,,14,Topside Sway Vel,m/s,Sway velocity measured at Topside. +ve Sway is towards Platform North.
Woodside,Scarborough,IMMS,,15,Topside Heave Vel,m/s,Heave velocity measured at Topside. +ve Heave is directed vertically upwards.
Woodside,Scarborough,IMMS,,16,Topside X Accel,m/s^2,Surge acceleration measured at Topside. +ve Surge is towards Platform East.
Woodside,Scarborough,IMMS,,17,Topside Y Accel,m/s^2,Sway acceleration measured at Topside. +ve Sway is towards Platform North.
Woodside,Scarborough,IMMS,,18,Topside Z Accel,m/s^2,Heave acceleration measured at Topside. +ve Heave is directed vertically upwards.
Woodside,Scarborough,IMMS,,19,HELI Roll,deg,"Roll angle of rotation about the local body longitudinal (x) axis, measured at Hellideck. +ve Roll is Platform South Down."
Woodside,Scarborough,IMMS,,20,HELI Pitch,deg,"Pitch angle of rotation about the local body transverse (y) axis, measured at Hellideck. +ve Pitch is Platform East Down."
Woodside,Scarborough,IMMS,,21,HELI Yaw,deg,"Yaw angle of rotation about the local body vertical (z) axis, measured at Hellideck. +ve Yaw is Platform East towards Platform North."
Woodside,Scarborough,IMMS,,22,HELI Roll Vel,deg/s,"Roll angular rate, measured at Hellideck. +ve Roll is Platform South Down."
Woodside,Scarborough,IMMS,,23,HELI Pitch Vel,deg/s,"Pitch angular rate, measured at Hellideck. +ve Pitch is Platform East Down."
Woodside,Scarborough,IMMS,,24,HELI Yaw Vel,deg/s,"Yaw angular rate, measured at Hellideck. +ve Yaw is Platform East towards Platform North."
Woodside,Scarborough,IMMS,,25,HELI Roll Accel,deg/s^2,"Roll angular acceleration, measured at Hellideck. +ve Roll is Platform South Down."
Woodside,Scarborough,IMMS,,26,HELI Pitch Accel,deg/s^2,"Pitch angular acceleration, measured at Hellideck. +ve Pitch is Platform East Down."
Woodside,Scarborough,IMMS,,27,HELI Yaw Accel,deg/s^2,"Yaw angular acceleration, measured at Hellideck. +ve Yaw is Platform East towards Platform North."
Woodside,Scarborough,IMMS,,28,HELI Surge,m,"Linear motion along the local body longitudinal (x) axis, measured at Hellideck. +ve Surge is towards Platform East."
Woodside,Scarborough,IMMS,,29,HELI Sway,m,"Linear motion along the local body transverse (y) axis, measured at Hellideck. +ve Sway is towards Platform North."
Woodside,Scarborough,IMMS,,30,HELI Heave,m,"Linear motion along the local body vertical (z) axis, measured at Hellideck. +ve Heave is upwards."
Woodside,Scarborough,IMMS,,31,HELI Surge Vel,m/s,Surge velocity measured at Hellideck. +ve Surge is towards Platform East.
Woodside,Scarborough,IMMS,,32,HELI Sway Vel,m/s,Sway velocity measured at Hellideck. +ve Sway is towards Platform North.
Woodside,Scarborough,IMMS,,33,HELI Heave Vel,m/s,Heave velocity measured at Hellideck. +ve Heave is directed vertically upwards.
Woodside,Scarborough,IMMS,,34,HELI X Accel,m/s^2,Surge acceleration measured at Hellideck. +ve Surge is towards Platform East.
Woodside,Scarborough,IMMS,,35,HELI Y Accel,m/s^2,Sway acceleration measured at Hellideck. +ve Sway is towards Platform North.
Woodside,Scarborough,IMMS,,36,HELI Z Accel,m/s^2,Heave acceleration measured at Hellideck. +ve Heave is directed vertically upwards.
Woodside,Scarborough,IMMS,,37,LQ Latitude DegMin,degMin,Latitude of the LQ GNSS antenna in terms of degrees and integer minutes
Woodside,Scarborough,IMMS,,38,LQ Latitude DecMin,decMin,Latitude of the LQ GNSS antenna in terms of decimal minutes (decimal places 1 to 4)
Woodside,Scarborough,IMMS,,39,LQ Latitude DecMin2,decMin,Latitude of the LQ GNSS antenna in terms of decimal minutes (decimal places 5 to 8)
Woodside,Scarborough,IMMS,,40,LQ Longitude DegMin,degMin,Longitude of the LQ GNSS antenna in terms of degrees and integer minutes
Woodside,Scarborough,IMMS,,41,LQ Longitude DecMin,decMin,Longitude of the LQ GNSS antenna in terms of decimal minutes (decimal places 1 to 4)
Woodside,Scarborough,IMMS,,42,LQ Longitude DecMin2,decMin,Longiitude of the LQ GNSS antenna in terms of decimal minutes (decimal places 5 to 8)
Woodside,Scarborough,IMMS,,43,LQ Altitude 1,m,Altitude measurement at the LQ GNSS antenna location in terms of integer meters
Woodside,Scarborough,IMMS,,44,LQ Altitude 2,10mm,Altitude measurement at the LQ GNSS antenna location in terms of integer centimeters
